Indonesian,Javanese
"Dia pergi ke toko untuk membeli roti, kemudian ia berjalan ke taman untuk bertemu teman-temannya, lalu mereka semua pergi ke pantai untuk menikmati matahari terbenam.","Dheweke lunga menyang warung kanggo ndoluk roti, ndadekke dheweke mlaku-menawi tamannya kanggo ketemu kawan-kawanne, inggih punika kabeh remenya lunga menyang pantai kanggo senengake matahari sedulur."
"Ibu mertua saya suka memasak makanan tradisional Indonesia seperti rendang, sate, dan nasi goreng, sedangkan ayah mertua saya lebih suka makanan internasional seperti pasta, pizza, dan steak.","Mbok mertaku seneng nggowo masak-masakan tradisional Indonesia kayak rendang, sate, lan nasi goreng, sementara bapak mertaku seneng kuliner internasional kayak pasta, pizza, lan steak."
".Dalam musim hujan yang deras, banjir sering terjadi di seluruh Indonesia; banyak rumah dan tanaman terendam air, dan banyak pengungsi yang merasa kehilangan tempat tinggal mereka.",".Ing wonten ing musim ujan aneng keneh, banjir sak sering kawentar ing ndhuwur Indonesia; mlebu sajrone wewidangan lan tembakau kena wewidangan, lan wong pengungsi banjur menehi rasa rugi tinggalanipun."
".Akhir tahun ini saya merencanakan untuk merayakan Natal dan Tahun Baru bersama keluarga di rumah, menghabiskan waktu berkualitas dengan orang-orang terdekat, memasak hidangan lezat, bermain permainan bersama-sama, dan menonton acara TV khusus untuk merayakan momen spesial ini.",".Wilayah akhir taun iki, aku weruh nalika weruhi Natal lan Tahun Anyar karo kulawarga nang omah, ngalami wong-wong paling akrab ngisor-menengah ora munggah, ndhuweni jamuan sedhap-sedhap, main permaenan dapetan, lan nonton TV acara khusus kanggo weruhi wengi sing spesial iki."
"Kita harus rajin berolahraga untuk menjaga kesehatan fisik dan mental kita, serta menjaga pola makan yang sehat dan teratur agar terhindar dari berbagai penyakit yang dapat mengganggu kesejahteraan hidup kita.","Kita kudu rajin-nggarap olahraga kanggo ngajaga kesehatan jasmani lan rohane kita, lan ngajaga pola mangan kang sehat lan teratur supaya ilang saking berbagai penyakit sing bisa ngganggu kesejahteraan nglawani kita."
".""Ketika saya sedang memasak di dapur, saya mendengarkan musik dan melakukan beberapa panggilan telepon, sambil memastikan agar tidak membakar makanan dan menjaga anak-anak yang sedang bermain di ruang keluarga.""",".""Ngantianiki kula lagi masak mangan nang dapur, kula ndenger musik lan njaluk telepon kanggo nego urusan bisnis, kulo uga meluwas karo yen tandha ora ning ngulas manganan lan ngliwat gampil kanggo para bocah sing nalika main nang ruang keluarga."""
"Saya suka makan ayam goreng yang renyah, lezat, dan beraroma sedap, kemudian minum jus jeruk segar yang manis, asam, dan sehat, serta ditemani musik yang merdu, mengalun, dan membawa ketenangan.","Aku seneng nggrumun ayam goreng sing uwuh, enak, lan wangi enak, trus ngombe jus jeruk segar sing manis, asam, lan sehat, ditemeni musik sing dhuwur, merdu, lan nampa lanang."
".Saya suka makan nasi goreng, mie goreng, dan ayam goreng saat saya merasa lapar dan saya ingin makan makanan yang gurih dan nikmat.",".Aku seneng mangan nasi goreng, mi goreng, lan ayam goreng nalika aku kesel karo aku pengin mangan kawigatangan lan endhing pengen mangan manganan sing enak lan lezat."
".""Kita harus selalu jujur dalam bergaul, menghargai perbedaan, menghindari sikap egois dan selalu mengutamakan kebaikan bersama.""",".""Kita harus ora ilang jujur sajroning aji-aji tumraping, ngathi-athi perbedaan, nduwé sikap egois wegah nganggo aji-aji ben toyomuhuné lan selalu ngutamakaké kèbaikan kanggo kabèh."""
"Hari ini saya bangun pagi-pagi, lalu membersihkan rumah, menyiapkan sarapan, melatih anjing saya, menonton film, dan bermain game komputer sepanjang hari.","Dinten iki kula bangun dhuwur-dhuwur, lungahe ojo kempul, nduweni sarapan, lidhehake anjing kula, nonton film, lan main game komputer amarga nganggo sedino kabeh."
"Pendidikan adalah kunci untuk meraih masa depan yang sukses, di mana seseorang dapat mengembangkan keterampilan dan pengetahuan untuk mencapai tujuan hidupnya, termasuk juga membuat perbedaan bagi masyarakat dan menciptakan dunia yang lebih baik untuk generasi mendatang.","Pendidikan yaiku kunci kanggo nganti sukses kanggo ngembangi keterampilan lan kangetan, kanggo ngerti maksud ngasilake aksi manfaat kang badhe ditindakake masyarakat lan megatke dunya kang adhel-dhel nganti generasi mendatang enggon manfaat dene keamanan."
"Saya sedang belajar bahasa Inggris karena ingin meningkatkan kemampuan berkomunikasi dengan orang-orang dari berbagai negara yang datang berkunjung ke Indonesia, mengembangkan karir saya di perusahaan internasional, serta memperluas wawasan dan pengalaman hidup saya.","Aku lagi ngendi nggoleki bab inggris supaya bisa ngrampungake kapabilitase komunikasi karo wong-wong saking negara-negara liya sing nomboki kaya Indonesia, ngembangkan karirku ing perusahaan internasional, lan nggawe seneng kanggo ngleri lan mbangun pengalaman manungsa aku."
"Hari ini aku bangun pagi-pagi sekali, mandi dan sarapan dengan nasi goreng dan kopi hitam, setelah itu aku berangkat ke kantor dengan sepeda motor dan menghadiri rapat penting tentang proyek besar yang akan segera dimulai.","Dinten iki aku tibak uger-uger mateng, olahraga lan mangan sajian nasi goreng lan kopi ireng, sisihut akèh aku angel nduwe jenengan marang kantor nganggo sepeda motor lan teka-tekane nganti saged mrekes rapat sing pitakonané babagan proyèk gedhé sing arep ndadèkaké."
"Di musim panas, cuaca sangat panas, laut menjadi biru cerah, dan pantai dipenuhi wisatawan.","Ing angka panas, ora sinedya panas, segara ngemut kembang luwih cerah, lan pantai dipekani wong wisata."
"Kesenian tradisional Indonesia terdiri dari berbagai macam seni seperti tari, musik, teater, wayang, dan ukiran yang menjadi simbol kekayaan budaya Indonesia dan menjadi kebanggaan masyarakat Indonesia.","Kesenian tradisional Indonesia duweké rong jinis utowa ana sokané seni kaya tari, musik, teater, wayang, lan ukir yaiku simbolé kekayaan budaya Indonesia lan uwong Jawa minggah lan jambrong lan regèk yaiku poné angguné budaya Indonesia."
"Saya suka makanan pedas, saya suka nonton film horor, dan saya suka berenang di pantai saat matahari terbenam.","Aku seneng kuliner pedes, aku seneng nonton film horor, lan aku seneng renang nang pantai sajroning piyambakan surya."
".Saat ini, di seluruh dunia sedang terjadi pandemi virus corona yang telah menyerang ribuan orang, mengakibatkan krisis ekonomi global yang sangat merugikan, serta melemahkan sistem kesehatan di berbagai negara yang membutuhkan dukungan.",".Saiki, ing sak duwure dunyo ana pandemi virus corona sing wis nyerang ribuan wong, ndhadhakake krisis ekonomi global sing kaget mripat, lan ngumangat-umangen sistem kesehatan ing nagara-nagara liya sing nganthukna wangunan."
"Hari ini, saya pergi ke pasar untuk membeli sayuran segar, daging ayam, ikan laut, dan buah-buahan yang masih segar pada pagi hari yang cerah ini.","Dinten iki, kula mlaku loro pasar kanggo nduwuraken sayur-sayuran segar, daging ayam, iwak samudra, lan buah-buahan sing masih segar ing dinten sawegé iki."
"Semakin banyak orang yang sadar akan pentingnya merawat lingkungan, semakin banyak juga program-program yang dilakukan untuk memperbaiki kondisi alam yang semakin terancam.","Semeneng munggah wong sing roh matoh mrenehan prasetyan kang penting kanggo nguripake alam, kapisah uga program-program kang diwiwiti kanggo mbeneri situasi alam sing padha anyep, amat jembar."
"Dia bangun pagi-pagi, membersihkan diri, mengenakan pakaian rapi, menikmati secangkir kopi dan memulai hari dengan semangat yang tinggi untuk menyelesaikan tugas-tugasnya dengan baik.","Sampeyan mbangun wonten isen-isen, nurutié ngersakmalan, angger kenakané gèthèk rapi, nulungi frengki kopi lan dadaré mitu semangat kang sanès banget kanggo nyélesaiaké tugas-tugasé sing apik."
"Saya senang ketika mendengarkan musik, bermain gitar, dan menulis lirik lagu dalam waktu luang saya karena itu membuat saya merasa bahagia.","Aku seneng ngrungokake musik, main gitar, lan nulis lirik lagu naliko ora ana aktifitas liyane karo nindakake aku lega lan seneng."
"Ketika aku bangun pagi hari, aku akan pergi ke dapur untuk membuat kopi, lalu aku akan mengambil koran dan duduk di teras untuk membaca sambil menikmati hangatnya sinar matahari pagi yang menyejukkan.","Manawa aku kaya ngaos yen aku pukul enem wiwitane, aku bakal mlebu dhaftar gudheg kangge mbuat kopi, nganti aku ngrambahake koran lan pikir-pikir nang teras sambil medhoti sinare depok akhire angeting eneng."
"Hari ini, saya bangun pagi-pagi dan membersihkan rumah, kemudian mandi dan bersiap-siap untuk pergi ke kantor, tapi terpaksa harus menghadiri sekolah online si sulung, setelah itu saya berkendara ke kantor dan mengikuti rapat tertutup dengan manajemen, sebelum pulang saya juga harus membeli beberapa bahan makanan di pasar.","Kiye iki, aku ndonok wekas ing janari lan njagas omah, terus mandhi lan meranggah kanggo mudhun ing kantor, nanging ketet kudu ana ing sekolah online bocah sing pisan, saben tumindak tandhing menyang kantor lan kutha sawetara rapat tertutup karo manajemen, saben rembug sebelum pulang kula uga kudu mbalihake beberape bahan mangan ing pasar."
"Ayah membeli buku, ibu membeli bahan masakan, kakak membeli baju, adik membeli permen, dan saya membeli bunga untuk menghiasi rumah kami.","Bapak nawakake buku, ibu nawakake bahan masakan, kakung nawakake kancan, adik nawakake permen, lan aku nawakake wulu kanggo menghiyahi omah kita."
".Setiap hari, saya bangun pagi-pagi sekali, menuju kamar mandi, menggosok gigi, mandi, dan berganti pakaian sebelum sarapan; kemudian saya berangkat ke kantor dengan membawa tas kerja dan membaca buku atau mendengarkan podcast di perjalanan.",".Saben dino, aku nekat tedhing ndhikeng kinanthi-niang, mekenthel gigi, mandhi, lan ganti uwong sadulur manggon pra sarapan; weruh lagi, aku mulih menyang kantor ninggalke tas kerjo sarta medhukur babad utawa bisa ngerangkul podcast nanging mboten ndadari tinggalan."
".Ketika musim hujan tiba, langit akan menjadi gelap dan mendung, tetapi air akan membantu tanaman tumbuh subur dan memberikan kesegaran bagi manusia dan satwa liar.",".Sak sawijining wengi ujan, langit bakal mungkasi ngramat dene adhem, nanging banyu bakal ngluwari tanaman nguripake pangaksamaan lan ngasi pirembagan kanggo manungsa lan satwa sane sida-sida."
"Hari ini aku bangun pagi, membersihkan rumah, masak mie instan, dan pergi ke pasar membeli bahan makanan.","Dina iki aku mangkat awal, mikirake griya, masak mie instan, lan mlaku-meneng menyang pasar ngomongake barang mangan."
"Ibu sedang memasak di dapur, ayah sedang membersihkan halaman, kakak sedang mengajar di sekolah, adik sedang bermain dengan mainan barunya.","Ibu kas sekar teges ing dapur, bapak kas nyaput lengkang rama, kakang kas ngajar ing sekolah, adik kas dolanan karo mainan anyar."
Rencana pemerintah untuk meningkatkan jumlah lapangan kerja melalui program pelatihan dan bantuan modal menjadi salah satu solusi efektif dalam mengatasi masalah pengangguran yang semakin meningkat di Indonesia.,Penjanaan lan perluasan lapangan kerjo dening ngadegna program latihan lan bantuan modal ingkang dipunrancang pemerintah uga sahiji solusi tangguh kanggo nerani masalah pengangguran ingkang makin raket lan kritis ing Negara Indonesia.
"Para siswa di sekolah itu membaca buku pelajaran baru, menulis esai tentang topik yang diberikan, menjawab soal latihan dalam buku kerja, dan mengikuti diskusi kelompok untuk memperdalam pemahaman mereka.","Para siswa ing sekolah iku maca buku pelajaran anyar, nulis esai bab topik sing gawé, nggone jawaban latihan ing buku karya, lan ngaji diskusi kumpulan biyen nanggapi pilari kaping kanggo nambah pemahamanipun."
".Saat itu, dia berkendara dengan hati-hati, mengambil rute yang lebih jauh dan menyenangkan, berhenti untuk membeli minuman dan makanan ringan, serta memastikan bahwa kendaraannya dalam kondisi yang bagus.",".Kalaiku nggoleki kanggo nyingkirake reripta, maken rute sing luwih jauh lan asik, ngrungokake minuman lan cemilan, lan nglestariake keadaan kendaraanku sing apik."
"Saya suka makan nasi goreng yang pedas, ayam goreng yang renyah, dan sambal yang pedas juga; semuanya bisa dibeli di warung makan favorit saya.","Aku seneng mangan sega goreng sing pedes, ayam goreng sing renyah, lan sambal sing pedes uga; kabeh bisa dibeli ing warung mangan andalanku."
".Saat aku memulai hari dengan jalan-jalan pagi sambil memegang secangkir kopi di tangan kanan, aku mendengarkan musik favorit yang terdengar dari headphone di telinga kiri saya, dan aku merasakan udara segar yang menyegarkan di wajah saya.",".Nalika kula njaluk karo ndelok po mongso amarga saben dina kula urip karo nggawe piknik dinggo megat segede cangkir kopi neng tangan tengen, kula mikirake musik favorit sing kedengeran saka heedphone neng tangan kiri sing gedhe, lan kula ngrasakake awan dening srengenge sing langsung mlebu dhateng muka kula."
"Mereka pergi ke toko baju, memilih pakaian yang tepat, membayar dengan uang tunai atau kartu kredit, lalu pulang dengan senyuman puas di wajah.","Loro loro iku maring toko baju, milih pakaian sing cocok, ngrasakno paeing kanthi uwong kasebut utawa kertu kredit, lan mudhun katon pasrah mawa andreget awit satispanggone."
"Hari ini aku akan pergi ke toko untuk membeli roti, susu, dan telur, kemudian aku akan melanjutkan perjalanan ke taman untuk jogging, dan akhirnya aku akan kembali ke rumah untuk bersantai.","Dina iki kula bakal males nyutri nang toko kanggo nggojeg roti, susu, lan telur, sarta kula bakal lumantar marang taman kanggo ngajarani, lan katon kula bakal luruh menyang omah kanggo rehat."
"Saya sedang belajar bahasa Jawa, mencoba memahami kosakata baru, menghafal struktur kalimat yang rumit, membiasakan lidah untuk sebutan huruf-huruf yang berbeda, dan berlatih berbicara dengan lancar.","Aku lagi nulis basa Jawa, moco kosakata anyar, hafal struktur kalimat aneh muluk, belajar dager-dager babagan aksara sing beda, lan karo adoh kanggo ngomong sip."
"Hari ini saya bangun pagi-pagi, mandi dan sarapan, lalu pergi berkebun, menyiram tanaman dan membersihkan halaman rumah.","Dengke aku isuk-isuk langsung badhe padha, ngucel lan sarapan, nganti andhap kebon, nyirami tanaman lan wudharake halaman omah."
"Saya selalu bermimpi memiliki rumah yang nyaman, bersih, dan teratur di tengah kota besar yang ramai dengan segala fasilitas modern seperti shopping mall, gedung perkantoran, dan akses transportasi yang mudah.","Aku selalu ngimpi kudu duwe omah sing arep, medhok, lan seger ing tengah kutha gedhe sing rame nganggo kabeh fasilitas modern kaya shopping mall, gedhung perkantoran, lan akses transportasi sing gampang."
"Hari ini saya bangun pagi-pagi dan membuat sarapan dengan sayuran segar, kemudian berolahraga selama setengah jam di taman dekat rumah, lalu memulai pekerjaan yang menumpuk di kantor, dan menjawab serangkaian email dari klien.","Ing dinten iki, aku tetep njeplak ora banget malah duwe sarapan karo sayuran segar, terus njaluk saka alam wisma sajaba setengah jroning taman ing ngarepe omah, lan mulai bekerja saka kantor, lan nyuwun paring padha omah ora ana tumindak."
"Saya sedang belajar bahasa Inggris dengan tekun, membaca buku-buku tentang tata bahasa, menonton film berbahasa Inggris, dan mempraktikan pada percakapan dengan teman-teman saya.","Kami saka petahana nglawan tjukup, mènèhi dhèwèké jahitan kuwi, mlaku marang béntèng sawah, lan nggawe masakan jenengé ayam lan wong-wong mangkono."
"Saya suka berjalan-jalan di taman, membaca buku di teras rumah, dan menonton film di bioskop.","Aku seneng dolan-dolan nang taman, maca buku nang teras omah, lan nonton film nang bioskop."
".Saat aku berjalan di taman, aku melihat bunga-bunga yang bermekaran dengan indah, anak-anak yang sedang bermain dan bersenang-senang sambil tertawa riang, serta burung-burung yang berkicau dengan merdu di atas pepohonan yang rindang.",".Saiku nganggo mlaku nang taman, aku ngelih bunga-bunga sing mbungkuk lan sayang ngluwari, bocah-bocah sing kepenak ngrungokake lan derajat-derajat sing ketawa ngentlegi, lan kinanti-kínanti sing nadha sing endah ing ndhuwureh jaran lan warak sing tedheng kieu."
"Ibu saya suka masak di dapur yang luas dengan peralatan modern dan menciptakan hidangan lezat yang menggugah selera, sedangkan ayah saya senang berkebun di halaman belakang rumah dengan alat-alat pertanian tradisional dan menanam berbagai macam buah-buahan dan sayuran yang sehat.","Ibu kula seneng nglenong nang dapur gedhe karo perlengkapane modern lan mrekesakake carangan enak sing nggoyak selera, sarta pak kula seneng nggarap sawah nang sampingan omah karo alet pertanian tradhisional lan nyawiji-mawiji macam pohon buah lan sayuran sing elok."
".Ibu sedang memasak di dapur sambil mendengarkan lagu, ayah sedang membaca koran di ruang keluarga sambil minum kopi, dan anak-anak sedang bermain di taman sambil berteriak dengan riang.",".Bapak sedang nulis-nulis ing dukuh sambil ngombe wedang, ibu sedang ngayahi ing dapur sambil mlebetakaken tembang, lan anak-anak sedang main ing talokan sambil duwet nganti rohrohan lan ngegah sing saru."
"Saat ini, banyak orang menghabiskan waktu di rumah karena pandemic COVID-19 dan pemerintah telah mengeluarkan kebijakan pembatasan sosial.","Saiki, sampeyan sing luwih akeh ngurip ing omah saka dhumateng pandemi COVID-19 lan pamarangan kanggo mbesuk sosial wis nduwékeun."
"Saya pergi ke pasar untuk membeli beras, sayur-sayuran, dan daging sapi, kemudian saya masak semua bahan tersebut untuk membuat nasi goreng yang sangat lezat.","Aku mlebu pasar kanggo nyekel beras, wiwit-wiwit, lan dhaging sapi, lan kula masak kabeh bahan iku kanggo ndamel nasi goreng sing Cethak banget rasane."
".Pada hari Minggu yang cerah, kami memutuskan untuk pergi ke pantai untuk berenang, berjemur, dan makan bersama, tetapi sayangnya kami terjebak dalam kemacetan lalu lintas yang luar biasa sehingga membuat perjalanan kami menjadi sangat melelahkan dan membuat kami sampai di pantai terlambat.",".Ing dinten Minggu kang ambengan, kita nuntut ngadeg lungguh menyang pantai kang tumrap nggaugake, njemur, lan mangan bareng, nanging saking kurang untung kita keselamatan ing ngelekakake lalu lintas kang apik banget sehingga arep isih menyang pantai kaya lambat lan ngrubah kita nganti pantai njaba."
"Menjaga kesehatan sangat penting untuk mencegah berbagai penyakit seperti diabetes, jantung koroner, dan kanker; memperkuat sistem kekebalan tubuh; serta meningkatkan kualitas hidup.","Ngayomi kesehatan iku uga penting kanggo nglawan macem-macem penyakit kaya diabetes, jantung koroner, lan kanker; ngewetugi sistem kekebalan badan; lan nggrowongi kualitas urip."
Hari ini saya akan pergi ke toko untuk membeli beberapa bahan makanan kemudian saya akan pulang ke rumah dan memasak beberapa hidangan favorit keluarga saya.,Dinten iki kula bakal mambangun nggayuh wenta kanggo njerung kaping telu banjur kula pengin ngandut karo temen-temen kula penjenengan lan adusan dhuwit ana ing kuthinan.
"Saat ini, saya sedang menulis sebuah artikel untuk tugas kuliah saya tentang topik yang sangat menarik dan kompleks, yang akan membantu saya dalam memperdalam pemahaman saya tentang berbagai isu sosial dan politik di Indonesia.","Punika ingkang kadadosan orahep pisan, ingkang sampun ajeg nyritakna artikel kanggo tugas sekolah ingkang ngandhut topik sing ana yaiku ingkang ana ing inggih-inggih mlebu manah kanggo ngembangake kagemanipun rasa kepedulian kita sadurunge marang masalah sosial lan politik Inggris Ibrahimovic."
"Hari Minggu saya bangun pagi-pagi, mandi, sarapan, kemudian pergi ke pasar untuk membeli sayuran dan buah-buahan segar, lalu kembali ke rumah untuk memasak makanan sehat untuk keluarga saya.","Indhulana dina Ahad aku wengi-wengi gawe ndhuk kerja, lumbe lumus, sarapan, nganti kemudian lunga menyang pasar kanggo nyakupi woh-wohan lan buah-buahan segari, sing nganti minggat mudhun banjur sampun mangan manganan sehat kanggo kulawarga sajati kuwi."
"Ibu memutuskan untuk memasak rendang, sayur lodeh, dan sate ayam untuk hidangan makan malam keluarga, ia pergi ke pasar untuk membeli bahan-bahan yang diperlukan dan kemudian mulai memasak di dapur yang bersih dan rapi.","Ibu manggoni nalika mbuat rendang, sayur lodeh, lan sate ayam minangka siraman manganan tembang kanggo wong tuwa, dhumateng pasar kanggo nyedhiyakake biyangan sing diperluakno lan nate mulai mbungkus ing dapur sing rapi lan gesang."
"Sepanjang hari ini, saya telah mengerjakan tugas kuliah, membaca buku, dan berolahraga di taman.","Nanging ditengah-tengah dina iki, kula wis nulungi tugas kuliah, ningali pratondho, lan nduweni latihan athletik ing taman."
".Saat ini kami sedang berada di rumah, memasak makanan, mengobrol tentang berbagai topik, dan menyiapkan diri untuk tidur nyenyak.",".Saiki kita ana nang omah, masak manganan, ngomong babagan macem-macem, lan ngarepake wis tidur sing nyenyak."
"Pada saat ini, banyak orang di seluruh dunia sedang berjuang untuk melawan pandemi virus corona dengan menjaga jarak sosial, mencuci tangan secara teratur, memakai masker, dan menerapkan protokol kesehatan yang ketat agar dapat memutus rantai penyebaran virus tersebut.","Saat iki, wong wayah lan wong anyar kang ana ing sak jagad arep duweni kahanan proses wilangan virus corona dening nglakoni gugu raket, gus mangan, angger maksa, lan nerapake protokol kesehatan sing ketat supaya supaya bisa ngleburakake fast-chain virus iki."
"Saya sedang mempersiapkan diri untuk ujian sambil membaca buku, mencatat catatan, dan mengerjakan latihan soal agar dapat mencapai nilai yang baik.","Aku lagi ngomong tyasa ngrambat ulangan sambel maca buku, nulis kasusahan, lan ngerjake tugas soal supaya dade ngetokake nilai sing apik."
"Di pagi hari yang cerah ini, saya bangun dari tidur, membersihkan diri, memakai pakaian yang rapi, memperbaiki rambut, dan sarapan dengan santai.","Ing wengi sing cerah iki, aku padha bangun saka gendhing, mikirake dhiri, nganggo kethuk sing rapi, nindakake rambut, lan mangan sarapan dhumateng."
"Hari ini kami pergi ke pantai, berselancar, berenang, berjemur, dan memancing di laut terbuka, karena cuaca sangat cerah dan angin relatif tenang.","Dinten iki kita mlebu pantai, turu, nelusuri segara, ngagemukaken kulit, lan ngudel saka samudra kembang, kalebu amarga angin ora kedadeyan lan udara tetep apik."
"Saya ingin pergi ke pantai pada hari Minggu untuk bersantai, berjemur, berenang, dan melihat pemandangan indah di sekitar pantai.","Aku pengin malang sek ke pantai dina Minggu kanggo ngaso, mlaku-mlaku, ngambang, lan nengok pemandangan ayu ing sekitar pantai."
".Ibu Irma membeli baju baru, ayahnya meninggalkan rumah untuk pergi bekerja, sedangkan adiknya sedang menyelesaikan tugas sekolahnya dan kucing mereka sedang tidur di depan jendela.",".Bapak Irma nggowo ganti baju anyar, peranakan pindhah kaping barang kanggo migunakake, sarta adikira lagi rampung tugas sekolahe lan kucing lanangipun antuk donga ing wulung ajeng."
"Rumah saya berada di pinggir kota, dekat dengan pusat perbelanjaan, sekolah, dan restoran-restoran terkenal, serta terdapat taman yang hijau dan asri di sekitarnya.","Omah kula tumuwuh ing pinggir kutha, tresnanipun kinclong karo pusat perbelanjaan, sekolahan, lan warung-warung mangan kang slulup, lan ana taman yang ijo asri ing ngarepe kono."
"Saya suka memasak di pagi hari, saya juga suka membaca buku di siang hari, dan saya senang menonton film di malam hari.","Aku seneng ndharani sajroning hawa, aku ojo seneng wengi nedha amarga sakdurunge mripat, lan aku seneng nonton filem marang sandhyane."
"Hari ini cuaca sangat cerah dan hangat, semua orang kelihatan senang dan bersemangat untuk melakukan aktivitas yang positif seperti olahraga, berkebun, atau sekadar jalan-jalan di taman.","Ngendi ing dinten iki cuaca preneng lan uga kehangatan, kabeh wong kuwi ketunggal lan kabeh karepmu minangka siji kang asuhi kayata olahraga, biten, utawa mampir mligi taman."
".Saat itu, mereka sedang berkumpul, makan, minum, dan berbincang-bincang menyenangkan di bawah pohon rindang yang tumbuh subur di pekarangan rumah sederhana mereka.",".Menika, wonten dheweke lagi nyambut, mangan, ngombe, lanngaging lanjut saking nduwé pethak úrut sing tumbuh subur ing pekarangan omah sederhana dheweke."
"Aku ingin pergi ke pantai untuk berenang, berjemur, dan menikmati keindahan alam. Sementara itu, aku juga ingin menikmati makanan khas daerah setempat seperti seafood, sate, dan nasi goreng yang memanjakan lidahku.","Kulo pengin mlayu ka pantai kanggo ndhelik, ndhapolake, lan nikmati kawis anak alam. Dengane iku, kulo uga pengin nikmati jamuan kuliner kanggo pecel, sate, lan nasi goreng kang ngeprenahake rasa kang kulo ngerasakake."
"Pemerintah Indonesia akan memberikan bantuan sosial kepada masyarakat yang terdampak pandemi COVID-19, menyalurkan vaksin untuk mempercepat pemulihan ekonomi, dan memperkuat infrastruktur untuk meningkatkan kualitas hidup rakyat.","Pihak Pemerintah Indonesia bakal ngedukung wong cilik sing terkena pengaruh pandemi COVID-19, nyedhiyaké vaksin kanggo nggawe ekonomi koé cepet kegawe, lan nguatno infrastruktur nganti mlebu dalem kualitas kasabaran wong."
"Saya berpikir, saya harus memperbaiki pola makan, rutin berolahraga, dan tidur cukup agar dapat hidup sehat dan aktif.","Ing atiku kudu tansah ngunakake nasi sehat, nguri-uri laku olahraga, lan turu yogya supaya bisa sehat lan aktif dalam urip."
"Dia tidak hanya menginjakkan kakinya di pantai, tetapi juga menyelam di dalam laut, berselancar dan menikmati pemandangan indah dari atas tebing.","Sak durunge, dheweke ora mung nggowo kakine nang pantai, nanging uga nglambehi amemek lan ngrungokake pemandangan melik saking jroning samudra, ngelonda lan ngrasakne kabeh garis akéh kantha pikuluk."
"Hari ini saya bangun pagi-pagi dan mulai bekerja dengan semangat penuh, kemudian saya mandi dan sarapan dengan lahap di depan televisi, setelahnya saya berangkat ke kantor dengan mengendarai mobil dan mendengarkan musik kesukaan saya sepanjang jalan.","Dinten iki, kula maju nyuwun pangapunten sepisan, dhateng ndalem ngardhula babad, isin isuke luwi adoh umum, prantya kula mulih ngisor tumrap enggone kula becik kanthi jenenge Gusti, ananging ora klebu mbangun wiwit, ngenteni tamu mau ngguyu, sesuk tiba-tiba kula ngelakugi ofis kanthi rasa riang dan ngunduh peteng tengah tresna karo tembung boso Jawa kaya dangdut."
"Pagi hari adalah waktu yang paling ideal untuk melakukan aktivitas fisik seperti jogging, bersepeda, atau berenang, karena udara masih segar dan tidak terlalu panas, serta dapat membantu memperbaiki kualitas tidur di malam hari agar lebih berkualitas.","Sesepené dina dumadakan, iku wektu sing paling apik kanggo gawe aktivitas fisik kaya mbedhah, nyepeda, utawa nguwangi, amargi udara isih segar lan ora terlalu ganas, lan bisa menolong manfaat nggarapakeno kothak-kothak tidur ing wengi kang luwih apik."
"Saya suka makan ayam goreng, nasi uduk, sate kambing, dendeng balado, dan rendang tapi saya juga suka makan sushi, ramen, bento, tempura, dan takoyaki.","Aku seneng mangan ayam goreng, nasi uduk, sate kambing, dendeng balado, lan rendang nanging aku uga seneng mangan sushi, ramen, bento, tempura, lan takoyaki."
"""Hari ini cuaca cerah, udara segar, pemandangan indah, dan kicauan burung merdu, semuanya membuat saya merasa bahagia dan tenang di hati.""","""Saben dinten kiwa cuaca kaca, udhara anyar, pemandangan elok, lan dengaran rintik ujan saka langit, kabeh nambah reresogan dalem saklakonku lan kula mrebes ing ati."""
"Saya sangat senang melihat pemandangan yang indah, merasakan angin sepoi-sepoi yang sejuk, dan mendengar suara burung yang berkicau di pagi hari.","Aku seng ngguyu-guyu gembira dadi ngisor kaca miwiti seneng nyetel ketoprak, amarga males nganggo gas, miwiti kurang tekanan angin, lan seneng ndenger suara ciblek mlaku maneh-menah dina dinten ora."
"Kita harus menghargai keragaman budaya, menumbuhkan semangat kebersamaan, dan menjunjung tinggi nilai-nilai demokrasi dalam kehidupan berbangsa dan bernegara.","Kita kudu njaga-jaga kasedherhanaan budaya, nglestarike semangat ngarepake, saremem mugi dadi nilai-nilai demokrasi sing bener ing urip-urip bareng ing negari."
"Hari ini saya bangun pagi-pagi, membersihkan kamar mandi, memasak sarapan, dan mengambil langkah-langkah pencegahan COVID-19 sebelum berangkat kerja.","Dina iki aku pirang tuku wengi, ngilangi kamar mandi, masak sarapan, lan ambil langkah-langkah pangaman COVID-19 sadurunge njaluk keja."
"Saya suka makan nasi padang, mie goreng, ayam bakar, sate, dan rendang karena rasanya enak dan terasa autentik.","Aku seneng nganggegno nasi padang, mie goreng, ayam bakar, sate, lan rendang amarga rasane enak lan beda-beda, sareng dadi autentik."
"Hari ini saya akan pergi ke supermarket untuk membeli beras, gula, minyak goreng, sayuran, dan daging sapi untuk persiapan makan malam nanti.","Dinten iki kula arep mlaku neng supermarket kanggo nembungaken sega, gula, minyak goreng, sayuran, lan daging sapi kanggo persiapan tumindak orahe nanti."
